Property No. ,Type of Access (X2),Neighbourhood Status (X3),Building Condition (X4),Type of Walls (X5),Type of Wall finish (X6),Type of Floor Finish (X7),Type of Ceiling (X8),NWSC Availabilty (X9),Hydro Power Availabilty (X10),Type of Saniation Facility (X11),Availabilty of Parking Space (X12),Type of Security (X13),Type of Boundary Wall (X14),Occupency Type ,Carpet Area ,Usage Type,Usage SubType,ALV,RV,Property Tax,Avg. Property Rate (per SQM)
P117014000,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,108.72,INSTITUTIONAL,Office_Classroom_Lectureroom,3423430,2054058,123243.48,1133.59
P117014001,Side Road,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,37.74,RESIDENTIALRENTED,TenementMuzigo,2160000,1684800,101088,2678.54
P117014003,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,150.84,RESIDENTIALRENTED,TenementMuzigo,8190000,6388200,383292,2541.05
P117014004,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,59.62,RESIDENTIALRENTED,TenementMuzigo,5040000,3931200,235872,3956.26
P117014005,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,77.44,RESIDENTIALRENTED,TenementMuzigo,5040000,3931200,235872,3045.87
P117014012,Side Road,SLUM,FAIR,MUD WATTLE,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,32.4,RESIDENTIALRENTED,TenementMuzigo,2520000,1965600,117936,3640.00
P117014013,Side Road,SLUM,FAIR,MUD WATTLE,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,107.86,RESIDENTIALRENTED,TenementMuzigo,5400000,4212000,252720,2343.04
P117014016,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,36.72,COMMERCIAL,Retail_Space,6480000,4536000,272160,7411.76
P117014022,Main Road,SLUM,UNDER CONSTRUCTION,BRICKS,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,91.75,COMMERCIAL,Retail_Space_Rear_Room,5040000,3024000,181440,1977.55
P117014024,Main Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,43.23,RESIDENTIALRENTED,TenementMuzigo,3600000,2808000,168480,3897.29
P117014027,Main Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,27.63,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,3048.86
P117014028,Main Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,24.13,RESIDENTIALRENTED,Outbuilding,900000,702000,42120,1745.54
P117014029,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,28.08,COMMERCIAL,Retail_Space,2160000,1512000,90720,3230.77
P117014030,Main Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,WALL,RENTED,123.12,RESIDENTIALRENTED,TenementMuzigo,7560000,4536000,272160,2210.53
P117014031,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,5.05,COMMERCIAL,Retail_Space,1080000,756000,45360,8982.18
P117014032,Side Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,165.63,RESIDENTIALRENTED,TenementMuzigo,7560000,5896800,353808,2136.13
P117014033,Side Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,151.64,RESIDENTIALRENTED,TenementMuzigo,7560000,5896800,353808,2333.21
P117014034,Main Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,142.64,RESIDENTIALRENTED,TenementMuzigo,4320000,3369600,202176,1417.39
P117014035,Footpath,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,RAZOR WIRE,WALL,RENTED,55.47,RESIDENTIALRENTED,Outbuilding,5400000,4212000,252720,4555.98
P117014036,Footpath,SLUM,GOOD,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,NONE,RENTED,24.035,RESIDENTIALRENTED,TenementMuzigo,1890000,1474200,88452,3680.13
P117014038,Footpath,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,34.56,RESIDENTIALRENTED,TenementMuzigo,2520000,1965600,117936,3412.50
P117014039,Side Road,SLUM,GOOD,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,34.9,RESIDENTIALRENTED,TenementMuzigo,1890000,1474200,88452,2534.44
P117014041,Side Road,SLUM,GOOD,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,135.18,RESIDENTIALRENTED,TenementMuzigo,9900000,7722000,463320,3427.43
P117014043,Side Road,SLUM,POOR,MUD WATTLE,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,42.97,RESIDENTIALRENTED,TenementMuzigo,1890000,1474200,88452,2058.46
P117014048,Footpath,SLUM,POOR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,58.32,RESIDENTIALRENTED,TenementMuzigo,9000000,7020000,421200,7222.22
P117014052,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,42.54,RESIDENTIALRENTED,TenementMuzigo,2700000,2106000,126360,2970.38
P117014053,Main Road,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,56.35,COMMERCIAL,Kiosk,1080000,756000,45360,804.97
P117014054,Main Road,SLUM,POOR,TIMBER,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,35.19,RESIDENTIALRENTED,TenementMuzigo,630000,491400,29484,837.85
P117014058,Main Road,HIGH CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,22.4,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,3760.71
P117014059,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,66.76,RESIDENTIALRENTED,TenementMuzigo,4230000,3299400,197964,2965.31
P117014060,Main Road,HIGH CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,21.54,RESIDENTIALRENTED,TenementMuzigo,900000,702000,42120,1955.43
P117014061,Main Road,MIDDLE CLASS,FAIR,IRON SHEETS,PAINTED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,9.25,COMMERCIAL,Kiosk,401142.8571,280800,16848,1821.41
P117014062,Main Road,HIGH CLASS,FAIR,IRON SHEETS,PAINTED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,7.5,COMMERCIAL,Kiosk,401142.8571,280800,16848,2246.40
P117014063,Main Road,MIDDLE CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,3231,COMMERCIAL,Retail_Space,152540125.7,106778088,6406685.28,1982.88
P117014064,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,143.51,RESIDENTIALRENTED,TenementMuzigo,6930000,5405400,324324,2259.94
P117014068,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,79.67,RESIDENTIALRENTED,TenementMuzigo,3240000,2527200,151632,1903.25
P117014069,Side Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,40.89,RESIDENTIALRENTED,TenementMuzigo,2160000,1684800,101088,2472.19
P117014070,Side Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,56.55,RESIDENTIALRENTED,TenementMuzigo,2160000,1684800,101088,1787.59
P117014071,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CERAMIC TILES,SOFT BOARD,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,98.99,COMMERCIAL,Retail_Space_Rear_Room,9025714.286,6318000,379080,3829.48
P117014072,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,115.183,RESIDENTIALRENTED,TenementMuzigo,3870000,3018600,181116,1572.42
P117014076,Footpath,SLUM,POOR,MUD WATTLE,UNPLASTERED,NONE,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,21.7,RESIDENTIALRENTED,TenementMuzigo,720000,561600,33696,1552.81
P117014082,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,28.35,RESIDENTIALRENTED,TenementMuzigo,900000,702000,42120,1485.71
P117014083,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,YES,NONE,NONE,RENTED,10.08,RESIDENTIALRENTED,TenementMuzigo,630000,491400,29484,2925.00
P117014084,Footpath,SLUM,POOR,BRICKS,PLASTERED,NONE,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,18.6,RESIDENTIALRENTED,TenementMuzigo,360000,280800,16848,905.81
P117014085,Footpath,SLUM,POOR,MUD WATTLE,UNPLASTERED,NONE,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,40.1,RESIDENTIALRENTED,TenementMuzigo,1260000,982800,58968,1470.52
P117014086,Footpath,SLUM,POOR,MUD WATTLE,UNPLASTERED,NONE,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,28.5,RESIDENTIALRENTED,TenementMuzigo,945000,737100,44226,1551.79
P117014088,Footpath,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,22.8,RESIDENTIALRENTED,TenementMuzigo,1620000,1263600,75816,3325.26
P117014091,Footpath,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,96.32,RESIDENTIALRENTED,TenementMuzigo,4320000,3369600,202176,2099.00
P117014094,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,NONE,RENTED,126.32,RESIDENTIALRENTED,TenementMuzigo,9000000,7020000,421200,3334.39
P117014096,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,NONE,RENTED,150.88,RESIDENTIALRENTED,TenementMuzigo,9000000,7020000,421200,2791.62
P117014097,Main Road,MIDDLE CLASS,FAIR,METALLIC SHEETING,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,7.5,COMMERCIAL,Retail_Space,401142.8571,280800,16848,2246.40
P117014102,Side Road,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,87.34,RESIDENTIALRENTED,TenementMuzigo,7200000,5616000,336960,3858.03
P117014103,Side Road,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,59.15,RESIDENTIALRENTED,TenementMuzigo,3600000,2808000,168480,2848.35
P117014104,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,42.09,RESIDENTIALRENTED,TenementMuzigo,2700000,2106000,126360,3002.14
P117014105,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,22.59,RESIDENTIALRENTED,TenementMuzigo,630000,491400,29484,1305.18
P117014106,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,76.47,COMMERCIAL,Retail_Space,6017142.857,4212000,252720,3304.83
P117014109,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,WALL,RENTED,86.02,RESIDENTIALRENTED,TenementMuzigo,8100000,6318000,379080,4406.88
P117014117,Main Road,MIDDLE CLASS,POOR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,78.96,RESIDENTIALRENTED,TenementMuzigo,5400000,4212000,252720,3200.61
P117014120,Main Road,MIDDLE CLASS,FAIR,BRICKS,CLAY BRICKS,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,194.78,RESIDENTIALRENTED,Mainbuilding,6300000,4914000,294840,1513.71
P117014122,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,NONE,WALL,RENTED,107.52,COMMERCIAL,Retail_Space,16800000,7056000,423360,3937.50
P117014126,Main Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,PVC TILES,SOFT BOARD,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,RAZOR WIRE,WALL,RENTED,101.72,RESIDENTIALRENTED,Mainbuilding,5400000,4212000,252720,2484.47
P117014127,Main Road,MIDDLE CLASS,UNDER CONSTRUCTION,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,RAZOR WIRE,WALL,RENTED,206.29,RESIDENTIALRENTED,TenementMuzigo,6300000,4914000,294840,1429.25
P117014129,Footpath,SLUM,POOR,BRICKS,PAINTED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,41.8,COMMERCIAL,Kiosk,1350000,1053000,63180,1511.48
P117014130,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,13.44,COMMERCIAL,Retail_Space,1002857.143,702000,42120,3133.93
P117014133,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,WALL,RENTED,178.368,RESIDENTIALRENTED,TenementMuzigo,10800000,8424000,505440,2833.69
P117014134,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,WALL,RENTED,48.544,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,1735.33
P117014135,Side Road,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,WALL,RENTED,85.374,COMMERCIAL,Retail_Space_Rear_Room,12034285.71,8424000,505440,5920.30
P117014143,Side Road,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,53.16,RESIDENTIALRENTED,TenementMuzigo,1350000,1053000,63180,1188.49
P117014144,Side Road,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,121.39,RESIDENTIALRENTED,TenementMuzigo,3150000,2457000,147420,1214.43
P117014145,Side Road,SLUM,FAIR,TIMBER,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,8.75,COMMERCIAL,Stores,360000,280800,16848,1925.49
P117014146,Side Road,SLUM,GOOD,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL,RENTED,12.49,INSTITUTIONAL,Residentialbuilding,1002857.143,702000,42120,3372.30
P117014147,Side Road,SLUM,GOOD,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL,RENTED,43.55,INSTITUTIONAL,Office,2238818.571,1567173,94030.38,2159.14
P117014148,Side Road,SLUM,GOOD,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL,RENTED,368.11,INSTITUTIONAL,Dormitory_Hostel,15769832.86,11038883,662332.98,1799.28
P117014149,Side Road,SLUM,GOOD,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PITLATRINE,YES,SECURITY GUARD,WALL,RENTED,227.54,INSTITUTIONAL,Residentialbuilding,9747814.286,6823470,409408.2,1799.28
P117014150,Side Road,SLUM,GOOD,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PITLATRINE,YES,SECURITY GUARD,WALL,RENTED,517.7,INSTITUTIONAL,Classroom_Lecture_rooms,22178268.57,15524788,931487.28,1799.28
P117014152,Side Road,SLUM,FAIR,BRICKS,CLAY BRICKS,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,169.47,COMMERCIAL,Retail_Space_Rear_Room,5850000,4563000,273780,1615.51
P117014153,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,53.2,RESIDENTIALRENTED,TenementMuzigo,2520000,1965600,117936,2216.84
P117014155,Footpath,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,NONE,RENTED,72.5,RESIDENTIALRENTED,TenementMuzigo,4500000,3510000,210600,2904.83
P117014156,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,WALL,RENTED,98.33,RESIDENTIALRENTED,Mainbuilding,6300000,4914000,294840,2998.47
P117014158,Footpath,SLUM,POOR,BRICKS,UNPLASTERED,NONE,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,33.6,RESIDENTIALRENTED,TenementMuzigo,1260000,982800,58968,1755.00
P117014159,Footpath,SLUM,FAIR,BRICKS,PLASTERED,NONE,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,28.2,RESIDENTIALRENTED,TenementMuzigo,1890000,1474200,88452,3136.60
P117014160,Side Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,WALL,RENTED,284.6,COMMERCIAL,Retail_Space_Rear_Room,20700000,16146000,968760,3403.94
P117014162,Main Road,HIGH CLASS,GOOD,BRICKS,CLAY BRICKS,TERRAZZO,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,851.71,INDUSTRIAL,Showroom,37529750,26270825,1576249.5,1850.69
P117014163,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,1120.72,INDUSTRIAL,Office_Warehouse,48151964.29,33706375,2022382.5,1804.54
P117014168,Main Road,SLUM,FAIR,METALLIC SHEETING,UNPLASTERED,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,16.8,COMMERCIAL,Retail_Space,351000,245700,14742,877.50
P117014170,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL FENCE,RENTED,27.6,COMMERCIAL,Retail_Space,5014285.714,3510000,210600,7630.43
P117014172,Side Road,MIDDLE CLASS,UNDER CONSTRUCTION,BRICKS,PAINTED,TERRAZZO,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,483.1,COMMERCIAL,Retail_Space_Office_Space,101520000,71064000,4263840,8826.00
P117014177,Side Road,SLUM,POOR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,86.25,RESIDENTIALRENTED,TenementMuzigo,3600000,2808000,168480,1953.39
P117014178,Side Road,SLUM,POOR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,34.8,RESIDENTIALRENTED,TenementMuzigo,675000,526500,31590,907.76
P117014180,Side Road,SLUM,POOR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,NONE,RENTED,31.86,RESIDENTIALRENTED,TenementMuzigo,1350000,1053000,63180,1983.05
P117014181,Side Road,SLUM,POOR,TIMBER,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,30.92,COMMERCIAL,Kiosk,802285.7143,561600,33696,1089.78
P117014182,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,WALL,RENTED,138.58,RESIDENTIALRENTED,Mainbuilding,3150000,2457000,147420,1063.79
P117014183,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,WALL,RENTED,50.6,COMMERCIAL,Stores,3008571.429,2106000,126360,2497.23
P117014184,Side Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,WALL,RENTED,67.3,COMMERCIAL,Stores,3008571.429,2106000,126360,1877.56
P117014186,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,WOOD STRIPS,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,307.8,COMMERCIAL,Office_Space,94940294.29,66458206,3987492.36,12954.82
P117014193,Footpath,SLUM,POOR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,CHAIN LINK,RENTED,69.4,INSTITUTIONAL,Residentialbuilding,4011428.571,2808000,168480,2427.67
P117014195,Side Road,SLUM,POOR,BRICKS,PAINTED,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,BARBED WIRE,RENTED,39.5,INSTITUTIONAL,Classroom_Lecture_rooms,902571.4286,631800,37908,959.70
P117014198,Side Road,SLUM,FAIR,BRICKS,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,79.65,RESIDENTIALRENTED,TenementMuzigo,3150000,2457000,147420,1850.85
P117014200,Side Road,SLUM,FAIR,MUD WATTLE,PLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,65.92,RESIDENTIALRENTED,TenementMuzigo,2160000,1684800,101088,1533.50
P117014203,Side Road,SLUM,FAIR,MUD WATTLE,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,30.71,RESIDENTIALRENTED,TenementMuzigo,630000,491400,29484,960.08
P117014204,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,106.5,RESIDENTIALRENTED,TenementMuzigo,3600000,2808000,168480,1581.97
P117014205,Side Road,SLUM,POOR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,66.3,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,1270.59
